order;artist;album;year
51;Colosseum;Daughter of Time;1970
52;Web;I Spider;1970
53;Jethro Tull;Stand Up;1969
54;Khan;Space Shanty;1972
55;Campo Di Marte;Campo di Marte;1973
56;Fusion Orchestra;Skeleton in Armour;1973
57;Night Sun;Mournin';1972
58;Toad;Tomorrow Blue;1972
59;The Greatest Show on Earth;Horizons;1970
60;The Greatest Show on Earth;The Going's Easy;1970
61;Kvartetten Som Sprangde;Kattvals;1973
62;Julian's Treatment;A Time Before This;1970
63;Tasavallan Presidentti;Tasavallan Presidentti;1971
64;Manfred Mann Chapter Three;Manfred Mann Chapter Three, Volume Two;1970
65;Caravan;Caravan;1969
66;East of Eden;Snafu;1970
67;Mr. Albert Show;Warm Motor;1971
68;Modry Efekt & Radim Hladik;Modry Efekt & Radim Hladik;1975
69;Emerson, Lake & Palmer;Emerson, Lake & Palmer;1970
70;Genesis;Foxtrot;1972
71;If;If;1970
72;Ginhouse;Ginhouse;1971
73;Ainigma;Diluvium;1973
74;Aphrodite's Child;666;1972
75;Steel Mill;Green Eyed God;1972
76;King Crimson;Larks Tongues in Aspic;1977
77;Jade Warrior;Last Autumn's Dream;1972
78;Camel;Mirage;1974
79;Tonton Macoute;Tonton Macoute;1971
80;King Crimson;Lizard;1970
81;King Crimson;In the Wake of Poseidon;1970
82;Camel;Camel;1973
83;Birth Control;Birth Control;1971
84;Hannibal;Hannibal;1970
85;Man;Be Good to Yourself at Least Once a Day;1972
86;Session;Unikuva;1974
87;Maxophone;Maxophone [English language version];1975
88;Focus;Hamburger Concerto;1974
89;After Tea;After Tea;1970
90;Saga;Saga;1974
91;Flasket Brinner;Flasket;1972
92;Akritas [Akritas];Akritas [Akritas];1973
93;Festa Mobile;Diario di viaggio della Festa mobile;1973
94;SBB;SBB;1974
95;King Crimson;Starless and Bible Black;1974
96;Van der Graaf Generator;Pawn Hearts;1971
97;Caravan;If I Could Do It All Over Again, I'd Do It All Over You;1970
98;Culpeper's Orchard;Culpeper's Orchard;1971
99;Pan & Regaliz;Pan & Regaliz;1971
100;Blackfeather;At the Mountains of Madness;1971
101;Svanfridur;What's Hidden There?;1972
102;Pete Brown & Piblokto!;Thousands on a Raft;1970
103;Gentle Giant;Octopus;1972
104;Gentle Giant;Three Friends;1972
105;Frumpy;2;1971
106;Panta Rei;Panta Rei;1973
107;Gentle Giant;Acquiring the Taste;1971
108;Made in Sweden;Snakes in a Hole;1969
109;Van der Graaf Generator;The Least We Can Do Is Wave to Each Other;1970
110;Van der Graaf Generator;Godbluff;1975
111;Quatermass;Quatermass;1970
112;Genesis;Nursery Cryme;1971
113;Yes;The Yes Album;1971
114;Steve Hillage;Fish Rising;1975
