order;artist;album;year
1;4/3 de Trio;Ersatz;2004
2;4Walls;And the World Aint Square;2001
3;Aera;Humanum est;1975
4;Aka Moon;Amazir;2006
5;Akaten;Chateau du Akaten;2001
6;Alexander Kostarev Group;Live@InProg;2003
7;Alusa Fallax;Intorno alla mia cattiva educazione;1974
8;Alva;Fair-Haired Guillotine;1997
9;Amoebic Ensemble;Limbic Rage;1995
10;Anamorphose;Palimpseste;1986
11;Antennas Erupt!;Magical Energy;2004
12;Apoteosi;Apoteosi;1975
13;Artcane;Odyssee;1977
14;Art Fleury;I luoghi del potere;1980
15;Art Zoyd;Musique pour l'Odyssee;1979
16;Atila;Intencion;1976
17;Avel nevez;La belle de Josselin;1978
18;Banda Elastica;2;1989
19;Begnagrad;Begnagrad;1982
20;Berits Halsband;Berits Halsband;1975
21;Il Berlione;Il Berlione;1992
22;Biota;Object Holder;1995
23;Biota;Almost Never;1992
24;Birds and Buildings;Bantam to Behemoth;2008
25;Birdsongs of the Mesozoic;Magnetic Flip;1984
26;Iva Bittova;Bile inferno;1997
27;Blast;Wire Stitched Ears;1995
28;Blops;Blops;1974
29;Bondage Fruit;Bondage Fruit;1994
30;Don Bradshaw-Leather;Distance Between Us;1972
31;Buon Vecchio Charlie;Buon Vecchio Charlie;1990
32;Campo Di Marte;Campo di Marte;1973
33;Enzo Capuano;Storia mai scritta;1975
34;Cartoon;Music From Left Field;1983
35;Cassiber;Beauty & the Beast;1984
36;Catharsis;Illuminations;1975
37;Celeste;Celeste;1976
38;Cerberus Shoal;Chaiming the Knoblessone;2003
39;Charming Hostess;Punch;2005
40;Cheer-Accident;Not a Food;1996
41;Circus 2000;Circus 2000;1970
42;Confluence;Chroniques Terrestres;1979
43;Contact Trio;New Marks;1978
44;Conventum;Le bureau central des utopies;1979
45;Lindsay Cooper;Sahara Dust;1993
46;Cos;Postaeolian Train Robbery;1974
47;Cro Magnon;Bull?;1997
48;Crucis;Crucis;1976
49;Die Anarchistische Abendunterhaltung!;Die Anarchistische Abendunterhaltung!;1995
50;Daimonji;Into a Blind Alley;2005
51;Debile Menthol;Emile au jardin patrologique;1983
52;Deep Dark United;Look At / Look Out;2008
53;Degenerate Art Ensemble;The Bastress;2005
54;Delirium;III - Viaggio negli arcipelaghi del tempo;1974
55;Daniel Denis;Les Eaux troubles;1993
56;Discus;...tot Licht!;2003
57;Doctor Nerve;Skin;1995
58;Dragon;Kalahen / Plus;1992
59;Dragontears;2000 Micrograms From Home;2007
60;Bob Drake;The Shunned Country;2005
61;Duello Madre;Duello Madre;1973
62;Dull Schicksal;Dikke mannen;1993
63;Dull Schicksal;Ambush;1997
64;Dzamble;Wolanie o slonce nad swiatem;1971
65;The (EC) Nudes;Vanishing Point;1994
66;The Enid;Six Pieces;1979
67;Ensemble Havadia;Ensemble Havadia;1981
68;Ensemble Nimbus;Key Figures;1994
69;Ensemble SuperMusique;Canevas <<+>>;2004
70;L' Ensemble raye;Meme en hiver: Comme un pinson dans l'eau;1989
71;Esperanto;Danse Macabre;1974
72;Estructura;Mas alla de tu mente;1978
73;Ethos;Ardour;1976
74;Etron fou leloublan;En public aux Etats-Unis d'Amerique;1980
75;Exmagma;Exmagma;1973
76;Factor Burzaco;Factor Burzaco;2007
77;Far Corner;Endangered;2007
78;Faun Fables;Family Album;2004
79;Fausto;Por este rio acima;1982
80;Un Festin Sagital;Esternocleidomastleoideo (Pharmakon 2);2004
81;Fibonaccis;Civilization and Its Discotheques;1987
82;Ficcion;Sobre La Cresta De La Ola;2006
83;The Fiery Furnaces;Rehearsing My Choir;2005
84;Flamen Dialis;Symptome-Dei;1979
85;Flamengo;Kure v hodinkach;1972
86;Flat Earth Society;Isms;2004
87;Forever Einstein;Artificial Horizon;1990
88;Fortrangt Hushallsarbete;Offret om att alska...;2002
89;Fred Frith;The Technology of Tears;1988
90;French TV;The Violence of Amateurs;1999
91;Fukkeduk;Ornithozozy;1994
92;Fulano;En el bunker;1989
93;Fun Machine;Sonnenhuhn;2009
94;Ga'an;Ga'an;2009
95;Gargamel;Watch for the Umbles;2006
96;Gatto Marte;Pieroino;2000
97;Salle Gaveau;Alloy;2007
98;Gnidrolog;...In Spite of Harry's Toe-Nail;1972
99;Goma;14 Abril;1975
100;Guadalquivir;Guadalquivir;1979
101;Gualberto;Vericuetos;1976
102;Gwendal;Gwendal 4 - Les Mouettes s'Battent;1979
103;Haino Keiji & Yoshida Tatsuya;Hauenfiomiume;2008
104;Hamster Theatre;The Public Execution of Mr. Personality / Quasi Day Room: Live at the Moore Theatre;2006
105;Harpy;Do Not Eat;1997
106;Happy Family;Toscco;1997
107;Hardscore;Monkey Trial;2004
108;The Hat Shoes;Differently Desperate;1991
109;Hellebore;Il y a des jours;1985
110;Heratius;Gwendolyne;1978
111;Het;Let's Het;1984
112;Joane Hetu;Castor et compagnie;1995
